sitename,start_km,end_km,core_start_km,core_end_km,length_km,shapefile
LEKKI01,0,5.728099412578058,0,5.603099412578058,5.728099412578058,Data\LEKKI01\referenceLines\Lagos_RefLine.shp
LEKKI02,5.478099412578058,11.206198825156116,5.603099412578058,11.206198825156116,5.728099412578058,Data\LEKKI02\referenceLines\Lagos_RefLine.shp
LEKKI03,11.206198825156116,16.46385081332058,11.206198825156116,16.33885081332058,5.257651988164464,Data\LEKKI03\referenceLines\LagosRefLine.shp
LEKKI04,16.21385081332058,21.596502801485045,16.33885081332058,21.471502801485045,5.382651988164464,Data\LEKKI04\referenceLines\LagosRefLine.shp
LEKKI05,21.346502801485045,26.729154789649517,21.471502801485045,26.604154789649517,5.382651988164465,Data\LEKKI05\referenceLines\LagosRefLine.shp
LEKKI06,26.479154789649517,31.86180677781397,26.604154789649517,31.73680677781397,5.382651988164463,Data\LEKKI06\referenceLines\LagosRefLine.shp
LEKKI07,31.61180677781397,36.99445876597844,31.73680677781397,36.86945876597844,5.382651988164463,Data\LEKKI07\referenceLines\LagosRefLine.shp
LEKKI08,36.74445876597844,42.127110754142905,36.86945876597844,42.002110754142905,5.382651988164467,Data\LEKKI08\referenceLines\LagosRefLine.shp
LEKKI09,41.877110754142905,47.259762742307366,42.002110754142905,47.134762742307366,5.382651988164463,Data\LEKKI09\referenceLines\LagosRefLine.shp
LEKKI10,47.009762742307366,52.39241473047183,47.134762742307366,52.26741473047183,5.382651988164463,Data\LEKKI10\referenceLines\LagosRefLine.shp
LEKKI11,52.14241473047183,57.400066718636296,52.26741473047183,57.400066718636296,5.257651988164463,Data\LEKKI11\referenceLines\LagosRefLine.shp
LEKKI12,57.400066718636296,63.55697778,57.400066718636296,63.43197778,6.156911065,Data\LEKKI12\referenceLines\Lagos_RefLine.shp
LEKKI13,63.30697782,69.46388885,63.43197778,69.46388885,6.156911065,Data\LEKKI13\referenceLines\Lagos_RefLine.shp
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
