epoch,mean_rate,min_rate,max_rate,n,advancing,retreating,stable
2013-2015,-1.27,-17.05,14.96,836,32.3,59.57,8.13
2015-2020,0.6,-9.14,14.1,821,42.39,25.09,32.52
2020-2025,0.28,-12.4,14.94,803,37.61,39.73,22.67
2013-2025,0.45,-7.19,10.55,905,33.15,42.43,24.42
